Experiment,Test Loss,Test Accuracy,Computation Time,CleanName
base_cifar100,0.002301221179544546,0.9516270999695845,617.5856623649597,Base
brightness_cifar100,0.00682410140148109,0.7915955132739559,629.3244462013245,Brightness
color_jitter_cifar100,0.0038612519396813054,0.8963336511782021,700.3361215591431,Color Jitter
contrast_cifar100,0.0042607994782768045,0.8814788517678619,634.3813433647156,Contrast
custom_augmentation_1_cifar100,0.014115517033608097,0.6228963144265922,685.5237638950348,Custom Augmentation 1
cutout_cifar100,0.002344906267822738,0.9498265943709453,637.2144634723663,Cutout
flipping_cifar100,0.03786771936686176,0.3909447314632926,630.6969485282898,Flipping
gaussian_noise_cifar100,0.002475465530719442,0.9443792693174569,620.6913268566132,Gaussian Noise
random_crop_cifar100,0.012904723613837342,0.7294116369478262,622.5587525367737,Random Crop
rotation_cifar100,0.005029488601098964,0.8629082217337979,678.8949031829834,Rotation
scaling_cifar100,0.0031657094153676444,0.9239212213807805,679.0775413513184,Scaling
shearing_cifar100,0.004896408074482042,0.8796284529054241,680.5110585689545,Shearing
