Experiment,Test Loss,Test Accuracy,Computation Time,CleanName
base_mnist,0.008456797092844536,0.9000789656001291,591.8619110584259,Base
brightness_mnist,0.00964932310970346,0.8961695421273541,597.4135580062866,Brightness
color_jitter_mnist,0.009117736306136392,0.8976221357940868,597.273877620697,Color Jitter
contrast_mnist,0.009246067235922547,0.8982614134527316,562.8716809749603,Contrast
custom_augmentation_1_mnist,0.024268212805318226,0.7783897352066769,599.2150037288666,Custom Augmentation 1
cutout_mnist,0.00857628402329839,0.8965122870578888,561.0828087329865,Cutout
flipping_mnist,0.06942317532790694,0.689958337385943,557.19535779953,Flipping
gaussian_noise_mnist,0.008615751427473726,0.90008239267738,556.5300250053406,Gaussian Noise
random_crop_mnist,0.058161465296889564,0.673979806672236,557.0996181964874,Random Crop
rotation_mnist,0.01655409961440571,0.8306754960375986,580.268078327179,Rotation
scaling_mnist,0.009160971174099643,0.8929765763556122,578.138384103775,Scaling
shearing_mnist,0.017398307461789837,0.8458974536057491,580.8629229068756,Shearing
