Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,0.04508311361670494,0.02510449957031353,0.4705736392378807,0.4908614549667213
2,0.025188539576530458,0.01879638157025644,0.5322400745391845,0.5969626922516307
3,0.024774243000149725,0.020817319904068474,0.5384898319721222,0.5509688774491571
4,0.024495281764864922,0.022243717803981652,0.543891018152237,0.5196904993740616
5,0.02400017429292202,0.019670274535751646,0.5501391707897186,0.5699880354723353
6,0.023977654686570166,0.022253188524086764,0.5502208036899566,0.5307632297467274
7,0.02413235221505165,0.020098187159865524,0.5511042350769043,0.5691244066900508
8,0.023895586448907852,0.020226919382905505,0.5530546582698822,0.5624822321211457
9,0.023821449694037437,0.02064753104309747,0.5536185896873475,0.5567577576181691
10,0.02387399917244911,0.019902293872871218,0.5542210563182831,0.5713762644749538
11,0.023819976085424424,0.018817756526694176,0.5555053504943848,0.5961290605508598
12,0.023794054639339448,0.020165207908506608,0.5563386584758758,0.5660776382039308
13,0.023655509358644484,0.019377220469485423,0.5576154085636139,0.5869983480234814
14,0.023699395540356636,0.018705185467175617,0.5581675647735596,0.6079659651798807
15,0.02374270157814026,0.020430784933506304,0.5570342967987061,0.5589715147474009
16,0.023793019750714302,0.019453306166324645,0.5572649539470672,0.5870313264761761
17,0.023441977241635322,0.02041048257593896,0.5613404569625855,0.5559202409853601
18,0.023701468202471734,0.019329594187201208,0.5593500858783722,0.5885695799900468
19,0.023677191293239593,0.01851265668679195,0.5598666702270508,0.6078664090982668
20,0.023491127640008925,0.018752836628229755,0.5615335882663727,0.5955828557348555
21,0.023545111218094827,0.018590800369241434,0.5614155475139618,0.5987151519508119
22,0.023542751199007034,0.01834060805760751,0.5615404903888702,0.6089857106755494
23,0.023408345198631286,0.01772217848189887,0.5632765096664428,0.6255326836731783
24,0.023250126038491727,0.017610510443426243,0.5645993199825287,0.6260705639602272
25,0.023473852124810218,0.019148574679330656,0.5633128205776214,0.5899797062964955
26,0.023516556069254874,0.018160648477874745,0.5618793661117554,0.6178741990380986
27,0.023595323795080184,0.017615558377876404,0.562136698293686,0.6212312286826456
28,0.023425110533833504,0.01732595718115758,0.5643033562660217,0.6332005326914939
29,0.023402708768844604,0.017799999903009577,0.5641076689720154,0.6164223783335109
30,0.023366316384077074,0.018098405829280805,0.5640476923942566,0.6188663422681724
31,0.023384419536590578,0.017703275148798325,0.5645567254066467,0.6179979530869016
32,0.023078573775291444,0.01784056719914553,0.5677739043235779,0.621775750901289
33,0.023445928414165974,0.017891224782178358,0.5645607937812805,0.6236597086973251
34,0.023441412311792375,0.017865147904320887,0.5642629678249359,0.6237306241776533
35,0.0232034938454628,0.01783669803433927,0.5673927937984466,0.6239809534352296
36,0.02356358333826065,0.017651567983019884,0.5628980249404907,0.6233489281812291
37,0.023415251177549362,0.017684893142787893,0.5649251993656158,0.6289804581623928
38,0.02327759027481079,0.01759355257793217,0.5663916948795319,0.6280184095832193
39,0.023311308267712594,0.017956203858184208,0.5667132279396058,0.6201416011069231
40,0.023251461893320082,0.017674770591792406,0.5671540803432464,0.6235534180501464
41,0.02312463991343975,0.01763663175189571,0.5680310089588165,0.6240567284025205
42,0.023196426174044608,0.01779639165682398,0.5677697543621063,0.6298035584437619
43,0.02337195918112993,0.01774704857331932,0.5654198768138885,0.6104373996424827
44,0.023399994918704033,0.017644062104403592,0.5655434436798096,0.6316287149289611
45,0.023337228694558145,0.01749008224838099,0.5661725534915925,0.6286291487657341
46,0.023394384679198264,0.018501796267309766,0.5652513220787049,0.5924823743522547
47,0.023265533384680747,0.01748886227512815,0.5674833374977112,0.6295175932015583
48,0.02313917791843414,0.017705056673971712,0.5678942332744599,0.6305277207095152
49,0.02322362907230854,0.017457829224788078,0.5679587440490723,0.6335171142201514
50,0.023185737450420855,0.01746912773366377,0.5681537555217743,0.6280097604557208
